audio_id,audio_path,romanized_transcript,bilingual_transcript,duration,sample_rate,processed_audio_path
audio_1,..\data\raw_audio\audio_1.wav,Mero assignment submit garna time lagxa.,मेरो assignment submit गर्न time लाग्छ।,2.26,16000,..\data\processed_audio\audio_1.wav
audio_10,..\data\raw_audio\audio_10.wav,Ma aba ghar jane sochdai chu.,म अब घर जाने सोच्दै छु।,1.97,16000,..\data\processed_audio\audio_10.wav
audio_100,..\data\raw_audio\audio_100.wav,Tyo function debug garna parxa.,त्यो function debug गर्नुपर्छ।,2.31,16000,..\data\processed_audio\audio_100.wav
audio_101,..\data\raw_audio\audio_101.wav,Maile chai breakfast nagareko.,मैलेचै breakfast नगरेको।,2.26,16000,..\data\processed_audio\audio_101.wav
audio_102,..\data\raw_audio\audio_102.wav,Tyo app update garna parxa.,त्यो app update गर्नुपर्छ।,1.81,16000,..\data\processed_audio\audio_102.wav
audio_103,..\data\raw_audio\audio_103.wav,Let's complete this topic today.,Let's complete this topic today.,2.14,16000,..\data\processed_audio\audio_103.wav
audio_104,..\data\raw_audio\audio_104.wav,Mero internet connection unstable xa.,मेरो internet connection unstable छ।,2.73,16000,..\data\processed_audio\audio_104.wav
audio_105,..\data\raw_audio\audio_105.wav,Please send me the notes after class.,Please send me the notes after class.,2.36,16000,..\data\processed_audio\audio_105.wav
audio_106,..\data\raw_audio\audio_106.wav,Tyo meeting kati baje start hunxa?,त्यो meeting कति बजे start हुन्छ?,2.12,16000,..\data\processed_audio\audio_106.wav
audio_107,..\data\raw_audio\audio_107.wav,Maile chai kal dekhi padna thale.,मैलेचै भोलि देखि पढ्न थाले।,2.45,16000,..\data\processed_audio\audio_107.wav
audio_108,..\data\raw_audio\audio_108.wav,Sir le assignment ko deadline extend garnu bhayo.,Sir ले assignment को deadline extend गर्नुभयो।,2.58,16000,..\data\processed_audio\audio_108.wav
audio_109,..\data\raw_audio\audio_109.wav,Tyo code output expected jasto xaina.,त्यो code output expected जस्तो छैन।,2.59,16000,..\data\processed_audio\audio_109.wav
audio_11,..\data\raw_audio\audio_11.wav,Tyo movie ko trailer dherai ramro xa.,त्यो movie को trailer धेरै राम्रो छ।,2.17,16000,..\data\processed_audio\audio_11.wav
audio_110,..\data\raw_audio\audio_110.wav,Please switch on your camera during viva.,Please switch on your camera during viva.,2.74,16000,..\data\processed_audio\audio_110.wav
audio_111,..\data\raw_audio\audio_111.wav,Maile chai course complete gare half.,मैलेचै  course complete गरे half.,2.54,16000,..\data\processed_audio\audio_111.wav
audio_112,..\data\raw_audio\audio_112.wav,Tyo task allocate garna parxa sabai ma.,त्यो task allocate गर्नुपर्छ सबैमा।,2.48,16000,..\data\processed_audio\audio_112.wav
audio_113,..\data\raw_audio\audio_113.wav,Mero phone ma tyo app install xa.,मेरो phone मा त्यो app install छ।,2.43,16000,..\data\processed_audio\audio_113.wav
audio_114,..\data\raw_audio\audio_114.wav,Let's do group study tomorrow.,Let's do group study tomorrow.,2.02,16000,..\data\processed_audio\audio_114.wav
audio_115,..\data\raw_audio\audio_115.wav,Maile chai tyo diagram draw gare class ma.,मैलेचै  त्यो diagram draw गरे class मा।,2.69,16000,..\data\processed_audio\audio_115.wav
audio_116,..\data\raw_audio\audio_116.wav,Please submit the form before deadline.,Please submit the form before deadline.,2.14,16000,..\data\processed_audio\audio_116.wav
audio_117,..\data\raw_audio\audio_117.wav,Mero bike service garna parxa.,मेरो bike service गर्नुपर्छ।,2.22,16000,..\data\processed_audio\audio_117.wav
audio_118,..\data\raw_audio\audio_118.wav,Tyo module bhaneko dherai important xa.,त्यो module भनेको धेरै important छ।,2.55,16000,..\data\processed_audio\audio_118.wav
audio_119,..\data\raw_audio\audio_119.wav,Maile chai kal dekhi early uthna thale.,मैलेचै  भोलि देखि early उठ्न थाले।,2.73,16000,..\data\processed_audio\audio_119.wav
audio_12,..\data\raw_audio\audio_12.wav,Assignment ko deadline extend hunxa ki nai?,Assignment को deadline extend हुन्छ कि नाई ?,2.35,16000,..\data\processed_audio\audio_12.wav
audio_120,..\data\raw_audio\audio_120.wav,Let's discuss this topic after lunch.,Let's discuss this topic after lunch.,2.55,16000,..\data\processed_audio\audio_120.wav
audio_121,..\data\raw_audio\audio_121.wav,Ma ghar pugna laai taxi liyera aako.,म घर पुग्नलाई taxi लिएर आएको।,2.44,16000,..\data\processed_audio\audio_121.wav
audio_122,..\data\raw_audio\audio_122.wav,Please mute yourself during meeting.,Please mute yourself during meeting.,2.28,16000,..\data\processed_audio\audio_122.wav
audio_123,..\data\raw_audio\audio_123.wav,Maile chai tyo topic revise gareko xu.,मैलेचै त्यो topic revise गरेको छु।,2.73,16000,..\data\processed_audio\audio_123.wav
audio_124,..\data\raw_audio\audio_124.wav,Tyo website load huna time lagxa.,त्यो website load हुन time लाग्छ।,2.54,16000,..\data\processed_audio\audio_124.wav
audio_125,..\data\raw_audio\audio_125.wav,Let's finish editing the video today.,Let's finish editing the video today.,2.45,16000,..\data\processed_audio\audio_125.wav
audio_126,..\data\raw_audio\audio_126.wav,Mero assignment file corrupt vayo.,मेरो assignment file corrupt भयो।,3.74,16000,..\data\processed_audio\audio_126.wav
audio_127,..\data\raw_audio\audio_127.wav,Tyo lecture record garna bhayo sir le.,त्यो lecture record गर्न भयो sir ले।,3.65,16000,..\data\processed_audio\audio_127.wav
audio_128,..\data\raw_audio\audio_128.wav,Please send the zoom link.,Please send the zoom link.,3.38,16000,..\data\processed_audio\audio_128.wav
audio_129,..\data\raw_audio\audio_129.wav,Maile chai hijo padhna time paayena.,मैले चाहिँ हिजो पढ्न time पाएँन।,4.83,16000,..\data\processed_audio\audio_129.wav
audio_13,..\data\raw_audio\audio_13.wav,Kal college ma class cancelled xa re.,भोलि college मा class cancelled छ रे।,2.38,16000,..\data\processed_audio\audio_13.wav
audio_130,..\data\raw_audio\audio_130.wav,Tyo image ko resolution low xa.,त्यो image को resolution low छ।,4.17,16000,..\data\processed_audio\audio_130.wav
audio_131,..\data\raw_audio\audio_131.wav,Let's go for group lunch today.,Let's go for group lunch today.,4.14,16000,..\data\processed_audio\audio_131.wav
audio_132,..\data\raw_audio\audio_132.wav,Ma ghar pugna alik late vayo.,म घर पुग्न अलिक late भयो।,4.55,16000,..\data\processed_audio\audio_132.wav
audio_133,..\data\raw_audio\audio_133.wav,Please reply to my message soon.,Please reply to my message soon.,4.21,16000,..\data\processed_audio\audio_133.wav
audio_134,..\data\raw_audio\audio_134.wav,Tyo code logic bujhna time lagxa.,त्यो code logic बुझ्न time लाग्छ।,4.28,16000,..\data\processed_audio\audio_134.wav
audio_135,..\data\raw_audio\audio_135.wav,Maile chai arko example try gare.,मैले चाहिँ अर्को example try गरे।,4.88,16000,..\data\processed_audio\audio_135.wav
audio_136,..\data\raw_audio\audio_136.wav,Tyo file ma error xa re.,त्यो file मा error छ रे।,4.03,16000,..\data\processed_audio\audio_136.wav
audio_137,..\data\raw_audio\audio_137.wav,Mero laptop slow vairaixa aaja.,मेरो laptop slow हुँदैछ आज।,4.42,16000,..\data\processed_audio\audio_137.wav
audio_138,..\data\raw_audio\audio_138.wav,Let's discuss project plan tomorrow.,Let's discuss project plan tomorrow.,3.69,16000,..\data\processed_audio\audio_138.wav
audio_139,..\data\raw_audio\audio_139.wav,Maile chai video edit gardai xu.,मैले चाहिँ video edit गर्दै छु।,3.9,16000,..\data\processed_audio\audio_139.wav
audio_14,..\data\raw_audio\audio_14.wav,Sir le extra class rakhnu bhayo bholi.,Sir ले extra class राख्नु भयो भोलि।,2.07,16000,..\data\processed_audio\audio_14.wav
audio_140,..\data\raw_audio\audio_140.wav,Please save the document frequently.,Please save the document frequently।,3.68,16000,..\data\processed_audio\audio_140.wav
audio_141,..\data\raw_audio\audio_141.wav,Tyo teacher ko explanation clear cha.,त्यो teacher को explanation clear छ।,4.33,16000,..\data\processed_audio\audio_141.wav
audio_142,..\data\raw_audio\audio_142.wav,Maile chai tyo question solve gare.,मैले चाहिँ त्यो question solve गरे।,4.1,16000,..\data\processed_audio\audio_142.wav
audio_143,..\data\raw_audio\audio_143.wav,Tyo folder drive ma upload gardinu.,त्यो folder drive मा upload गर्दिनु।,4.36,16000,..\data\processed_audio\audio_143.wav
audio_144,..\data\raw_audio\audio_144.wav,Let's start coding session now.,Let's start coding session now.,3.81,16000,..\data\processed_audio\audio_144.wav
audio_145,..\data\raw_audio\audio_145.wav,Maile chai tyo mail send gare.,मैले चाहिँ त्यो mail send गरे।,4.01,16000,..\data\processed_audio\audio_145.wav
audio_146,..\data\raw_audio\audio_146.wav,Please share the google form link.,Please share the google form link.,3.33,16000,..\data\processed_audio\audio_146.wav
audio_147,..\data\raw_audio\audio_147.wav,Mero practical test kal cha.,मेरो practical test भोलि छ।,3.77,16000,..\data\processed_audio\audio_147.wav
audio_148,..\data\raw_audio\audio_148.wav,Tyo function call garna birse.,त्यो function call गर्न बिर्से।,3.46,16000,..\data\processed_audio\audio_148.wav
audio_149,..\data\raw_audio\audio_149.wav,Maile chai code debug gardai xu.,मैले चाहिँ code debug गर्दै छु।,4.25,16000,..\data\processed_audio\audio_149.wav
audio_15,..\data\raw_audio\audio_15.wav,Tyo code ma error dekhauna sakchau?,त्यो code मा error देखाउन सक्छौ?,2.07,16000,..\data\processed_audio\audio_15.wav
audio_150,..\data\raw_audio\audio_150.wav,Let's attend tomorrow's workshop.,Let's attend tomorrow's workshop.,4.38,16000,..\data\processed_audio\audio_150.wav
audio_151,..\data\raw_audio\audio_151.wav,Mero room ma wifi problem xa.,मेरो room मा wifi problem छ।,4.47,16000,..\data\processed_audio\audio_151.wav
audio_152,..\data\raw_audio\audio_152.wav,Tyo photo upload gardaina timely.,त्यो photo upload गर्दैन तिमीले|,4.22,16000,..\data\processed_audio\audio_152.wav
audio_153,..\data\raw_audio\audio_153.wav,Please send your assignment today.,Please send your assignment today.,3.96,16000,..\data\processed_audio\audio_153.wav
audio_154,..\data\raw_audio\audio_154.wav,Maile chai tyo topic already padheko xu.,मैले चाहिँ त्यो topic already पढेको छु।,4.99,16000,..\data\processed_audio\audio_154.wav
audio_155,..\data\raw_audio\audio_155.wav,Tyo diagram explain gardinu na.,त्यो diagram explain गर्दिनु न।,4.58,16000,..\data\processed_audio\audio_155.wav
audio_156,..\data\raw_audio\audio_156.wav,Let's go for tea break.,Let's go for tea break.,3.21,16000,..\data\processed_audio\audio_156.wav
audio_157,..\data\raw_audio\audio_157.wav,Maile chai file rename gare already.,मैले चाहिँ file rename गरे already।,4.17,16000,..\data\processed_audio\audio_157.wav
audio_158,..\data\raw_audio\audio_158.wav,Please add me to the group.,Please add me to the group.,3.47,16000,..\data\processed_audio\audio_158.wav
audio_159,..\data\raw_audio\audio_159.wav,Mero code output correct xa.,मेरो code output correct छ।,3.92,16000,..\data\processed_audio\audio_159.wav
audio_16,..\data\raw_audio\audio_16.wav,Mero laptop ma python install xa already.,मेरो laptop मा python install छ already.,2.4,16000,..\data\processed_audio\audio_16.wav
audio_160,..\data\raw_audio\audio_160.wav,Tyo app update available cha.,त्यो app update available छ।,4.21,16000,..\data\processed_audio\audio_160.wav
audio_161,..\data\raw_audio\audio_161.wav,Maile chai question solve gare half.,मैले चाहिँ question solve गरे half।,4.17,16000,..\data\processed_audio\audio_161.wav
audio_162,..\data\raw_audio\audio_162.wav,Let's meet at library tomorrow.,Let's meet at library tomorrow.,4.28,16000,..\data\processed_audio\audio_162.wav
audio_163,..\data\raw_audio\audio_163.wav,Mero presentation bholi cha?,मेरो presentation भोलि छ?,3.6,16000,..\data\processed_audio\audio_163.wav
audio_164,..\data\raw_audio\audio_164.wav,Please check your WhatsApp.,Please check your WhatsApp.,3.54,16000,..\data\processed_audio\audio_164.wav
audio_165,..\data\raw_audio\audio_165.wav,Tyo document finalize garna parxa.,त्यो document finalize गर्न पर्छ।,4.07,16000,..\data\processed_audio\audio_165.wav
audio_166,..\data\raw_audio\audio_166.wav,Maile chai arko function try gare.,मैले चाहिँ अर्को function try गरे।,4.0,16000,..\data\processed_audio\audio_166.wav
audio_167,..\data\raw_audio\audio_167.wav,Tyo teacher ko lecture interesting xa.,त्यो teacher को lecture interesting छ।,5.21,16000,..\data\processed_audio\audio_167.wav
audio_168,..\data\raw_audio\audio_168.wav,Please bring your charger tomorrow.,Please bring your charger tomorrow.,4.07,16000,..\data\processed_audio\audio_168.wav
audio_169,..\data\raw_audio\audio_169.wav,Mero laptop ma VS Code xa installed.,मेरो laptop मा VS Code छ installed।,5.03,16000,..\data\processed_audio\audio_169.wav
audio_17,..\data\raw_audio\audio_17.wav,Let's finish this project by tonight.,Let's finish this project by tonight.,2.24,16000,..\data\processed_audio\audio_17.wav
audio_170,..\data\raw_audio\audio_170.wav,Let's practice more coding today.,Let's practice more coding today.,3.98,16000,..\data\processed_audio\audio_170.wav
audio_171,..\data\raw_audio\audio_171.wav,Maile chai tyo repo clone gareko xu.,मैले चाहिँ त्यो repo clone गरेको छु।,5.04,16000,..\data\processed_audio\audio_171.wav
audio_172,..\data\raw_audio\audio_172.wav,Please turn off your mic.,Please turn off your mic.,3.67,16000,..\data\processed_audio\audio_172.wav
audio_173,..\data\raw_audio\audio_173.wav,Tyo table clean garera rakhnu.,त्यो table clean गरेर राख्नु।,3.69,16000,..\data\processed_audio\audio_173.wav
audio_174,..\data\raw_audio\audio_174.wav,Ma ghar pugna alik time lagxa.,म घर पुग्न अलिक time लाग्छ।,4.5,16000,..\data\processed_audio\audio_174.wav
audio_175,..\data\raw_audio\audio_175.wav,Let's finish editing by tonight.,Let's finish editing by tonight.,4.17,16000,..\data\processed_audio\audio_175.wav
audio_176,..\data\raw_audio\audio_176.wav,Mero practical marks upload vayo ki nai?,मेरो practical marks upload भयो कि छैन?,4.92,16000,..\data\processed_audio\audio_176.wav
audio_177,..\data\raw_audio\audio_177.wav,Please check the spelling once.,Please check the spelling once.,3.5,16000,..\data\processed_audio\audio_177.wav
audio_178,..\data\raw_audio\audio_178.wav,Tyo class join garna birse maile.,त्यो class join गर्न बिर्से मैले।,4.71,16000,..\data\processed_audio\audio_178.wav
audio_179,..\data\raw_audio\audio_179.wav,Maile chai tyo question google gare.,मैले चाहिँ त्यो question google गरे।,4.33,16000,..\data\processed_audio\audio_179.wav
audio_18,..\data\raw_audio\audio_18.wav,Maile tyo reel edit gareko xu.,मैले त्यो reel edit गरेको छु।,1.86,16000,..\data\processed_audio\audio_18.wav
audio_180,..\data\raw_audio\audio_180.wav,Tyo diagram alik ramro banauna parxa.,त्यो diagram अलिक राम्रो बनाउन पर्छ।,4.91,16000,..\data\processed_audio\audio_180.wav
audio_181,..\data\raw_audio\audio_181.wav,Let's submit assignment before lunch.,Let's submit assignment before lunch।,3.92,16000,..\data\processed_audio\audio_181.wav
audio_182,..\data\raw_audio\audio_182.wav,Mero pen khoi bhaneko xu.,मेरो pen खोइ भनेको छु।,4.55,16000,..\data\processed_audio\audio_182.wav
audio_183,..\data\raw_audio\audio_183.wav,Please unmute yourself to speak.,Please unmute yourself to speak.,3.85,16000,..\data\processed_audio\audio_183.wav
audio_184,..\data\raw_audio\audio_184.wav,Tyo video ko quality ramro cha.,त्यो video को quality राम्रो छ।,4.1,16000,..\data\processed_audio\audio_184.wav
audio_185,..\data\raw_audio\audio_185.wav,Maile chai hijo tyo task gareko xu.,मैले चाहिँ हिजो त्यो task गरेको छु।,4.42,16000,..\data\processed_audio\audio_185.wav
audio_186,..\data\raw_audio\audio_186.wav,Tyo teacher ko handwriting ramro xa.,त्यो teacher को handwriting राम्रो छ।,4.28,16000,..\data\processed_audio\audio_186.wav
audio_187,..\data\raw_audio\audio_187.wav,Please fill the feedback form.,Please fill the feedback form.,3.77,16000,..\data\processed_audio\audio_187.wav
audio_188,..\data\raw_audio\audio_188.wav,Mero assignment submit vayo already.,मेरो assignment submit भयो already।,4.12,16000,..\data\processed_audio\audio_188.wav
audio_189,..\data\raw_audio\audio_189.wav,Tyo app install garna thap permission maage.,त्यो app install गर्न थप permission मागे।,5.15,16000,..\data\processed_audio\audio_189.wav
audio_19,..\data\raw_audio\audio_19.wav,Yo song sunera mood fresh hunxa.,यो song सुनेर mood fresh हुन्छ।,2.31,16000,..\data\processed_audio\audio_19.wav
audio_190,..\data\raw_audio\audio_190.wav,Let's fix the bug today.,Let's fix the bug today.,3.86,16000,..\data\processed_audio\audio_190.wav
audio_191,..\data\raw_audio\audio_191.wav,Maile chai tyo class record gare.,मैले चाहिँ त्यो class record गरे।,4.61,16000,..\data\processed_audio\audio_191.wav
audio_192,..\data\raw_audio\audio_192.wav,Please clean your desktop.,Please clean your desktop.,3.62,16000,..\data\processed_audio\audio_192.wav
audio_193,..\data\raw_audio\audio_193.wav,Tyo meeting cancel vayo re.,त्यो meeting cancel भयो रे।,4.05,16000,..\data\processed_audio\audio_193.wav
audio_194,..\data\raw_audio\audio_194.wav,Ma ghar pugna laai bus liyera aaye.,म घर पुग्न लाई bus लिएर आए।,4.36,16000,..\data\processed_audio\audio_194.wav
audio_195,..\data\raw_audio\audio_195.wav,Let's create new repository today.,Let's create new repository today।,4.36,16000,..\data\processed_audio\audio_195.wav
audio_196,..\data\raw_audio\audio_196.wav,Mero internet bill unpaid xa.,मेरो internet bill unpaid छ।,4.26,16000,..\data\processed_audio\audio_196.wav
audio_197,..\data\raw_audio\audio_197.wav,Please use headset during meeting.,Please use headset during meeting.,4.03,16000,..\data\processed_audio\audio_197.wav
audio_198,..\data\raw_audio\audio_198.wav,Tyo code re-run garera check gara.,त्यो code re-run गरेर check गर।,4.14,16000,..\data\processed_audio\audio_198.wav
audio_199,..\data\raw_audio\audio_199.wav,Maile chai output verify gare.,मैले चाहिँ output verify गरे।,4.17,16000,..\data\processed_audio\audio_199.wav
audio_2,..\data\raw_audio\audio_2.wav,Sir le bhaneko concept clear vayena.,Sir ले भनेको concept clear भएको छैन।,2.44,16000,..\data\processed_audio\audio_2.wav
audio_20,..\data\raw_audio\audio_20.wav,Lunch ma momo khane ho?,Lunch मा momo खाने हो?,1.47,16000,..\data\processed_audio\audio_20.wav
audio_200,..\data\raw_audio\audio_200.wav,Let's have group discussion.,Let's have group discussion.,3.58,16000,..\data\processed_audio\audio_200.wav
audio_201,..\data\raw_audio\audio_201.wav,Mero presentation file ready cha.,मेरो presentation file ready छ।,4.04,16000,..\data\processed_audio\audio_201.wav
audio_202,..\data\raw_audio\audio_202.wav,Please join the meeting soon.,Please join the meeting soon.,3.58,16000,..\data\processed_audio\audio_202.wav
audio_203,..\data\raw_audio\audio_203.wav,Tyo function parameter galat cha.,त्यो function parameter गलत छ।,4.45,16000,..\data\processed_audio\audio_203.wav
audio_204,..\data\raw_audio\audio_204.wav,Maile chai video upload gare youtube ma.,मैले चाहिँ video upload गरे youtube मा।,4.83,16000,..\data\processed_audio\audio_204.wav
audio_205,..\data\raw_audio\audio_205.wav,Tyo teacher ko subject dherai interesting xa.,त्यो teacher को subject धेरै interesting छ।,5.32,16000,..\data\processed_audio\audio_205.wav
audio_206,..\data\raw_audio\audio_206.wav,Let's finalize report today.,Let's finalize report today.,3.35,16000,..\data\processed_audio\audio_206.wav
audio_207,..\data\raw_audio\audio_207.wav,Maile chai python install gare.,मैले चाहिँ python install गरे।,4.04,16000,..\data\processed_audio\audio_207.wav
audio_208,..\data\raw_audio\audio_208.wav,Please share the ppt slides.,Please share the ppt slides.,3.31,16000,..\data\processed_audio\audio_208.wav
audio_209,..\data\raw_audio\audio_209.wav,Tyo question ko answer easy xa.,त्यो question को answer easy छ।,3.54,16000,..\data\processed_audio\audio_209.wav
audio_21,..\data\raw_audio\audio_21.wav,Yo code run garna thap module install garnu parxa.,यो code run गर्न थप module install गर्नुपर्छ।,3.07,16000,..\data\processed_audio\audio_21.wav
audio_210,..\data\raw_audio\audio_210.wav,Maile chai tyo diagram draw gare class ma.,मैले चाहिँ त्यो diagram draw गरे class मा।,5.62,16000,..\data\processed_audio\audio_210.wav
audio_211,..\data\raw_audio\audio_211.wav,Tyo video edit garna alik time lagxa.,त्यो video edit गर्न अलिक time लाग्छ।,5.03,16000,..\data\processed_audio\audio_211.wav
audio_212,..\data\raw_audio\audio_212.wav,Please send me the final draft.,Please send me the final draft.,4.22,16000,..\data\processed_audio\audio_212.wav
audio_213,..\data\raw_audio\audio_213.wav,Mero laptop charge khattam xa.,मेरो laptop charge खत्तम छ।,4.08,16000,..\data\processed_audio\audio_213.wav
audio_214,..\data\raw_audio\audio_214.wav,Let's revise this topic now.,Let's revise this topic now.,3.56,16000,..\data\processed_audio\audio_214.wav
audio_215,..\data\raw_audio\audio_215.wav,Maile chai question bank download gare.,मैले चाहिँ question bank download गरे।,4.26,16000,..\data\processed_audio\audio_215.wav
audio_216,..\data\raw_audio\audio_216.wav,Tyo image blur xa re.,त्यो image blur छ रे।,3.74,16000,..\data\processed_audio\audio_216.wav
audio_217,..\data\raw_audio\audio_217.wav,Please share your notes.,Please share your notes.,2.87,16000,..\data\processed_audio\audio_217.wav
audio_218,..\data\raw_audio\audio_218.wav,Mero exam bholi cha?,मेरो exam भोलि छ?,3.5,16000,..\data\processed_audio\audio_218.wav
audio_219,..\data\raw_audio\audio_219.wav,Tyo class record vayo ki nai?,त्यो class record भयो कि छैन?,3.74,16000,..\data\processed_audio\audio_219.wav
audio_22,..\data\raw_audio\audio_22.wav,"Kal test cha, padhera aauna.","भोलि test छ, पढेर आउनु।",1.9,16000,..\data\processed_audio\audio_22.wav
audio_220,..\data\raw_audio\audio_220.wav,Maile chai assignment submit gare hijo.,मैले चाहिँ assignment submit गरे हिजो।,4.76,16000,..\data\processed_audio\audio_220.wav
audio_221,..\data\raw_audio\audio_221.wav,Let's deploy project today.,Let's deploy project today.,3.2,16000,..\data\processed_audio\audio_221.wav
audio_222,..\data\raw_audio\audio_222.wav,Mero pen drive ghar ma xa.,मेरो pen drive घर मा छ।,3.75,16000,..\data\processed_audio\audio_222.wav
audio_223,..\data\raw_audio\audio_223.wav,Please create a backup file.,Please create a backup file।,3.37,16000,..\data\processed_audio\audio_223.wav
audio_224,..\data\raw_audio\audio_224.wav,Tyo topic readymade solution ma nai xa.,त्यो topic readymade solution मा नै छ।,4.42,16000,..\data\processed_audio\audio_224.wav
audio_225,..\data\raw_audio\audio_225.wav,Maile chai youtube video herera padhe.,मैले चाहिँ youtube video हेरेर पढे।,4.04,16000,..\data\processed_audio\audio_225.wav
audio_226,..\data\raw_audio\audio_226.wav,Mero assignment deadline bholi ho.,मेरो assignment deadline भोलि हो।,3.6,16000,..\data\processed_audio\audio_226.wav
audio_227,..\data\raw_audio\audio_227.wav,Please turn on your camera.,Please turn on your camera.,2.79,16000,..\data\processed_audio\audio_227.wav
audio_228,..\data\raw_audio\audio_228.wav,Tyo teacher le example dherai ramro diye.,त्यो teacher ले example धेरै राम्रो दिए।,4.21,16000,..\data\processed_audio\audio_228.wav
audio_229,..\data\raw_audio\audio_229.wav,Maile chai code compile gareko xu.,मैले चाहिँ code compile गरेको छु।,3.74,16000,..\data\processed_audio\audio_229.wav
audio_23,..\data\raw_audio\audio_23.wav,Mero name list ma xa ki nai?,मेरो name list मा छ कि छैन?,1.83,16000,..\data\processed_audio\audio_23.wav
audio_230,..\data\raw_audio\audio_230.wav,Tyo app use garna easy lagyo.,त्यो app use गर्न easy लाग्यो।,3.41,16000,..\data\processed_audio\audio_230.wav
audio_231,..\data\raw_audio\audio_231.wav,Let's discuss this in next meeting.,Let's discuss this in next meeting.,3.71,16000,..\data\processed_audio\audio_231.wav
audio_232,..\data\raw_audio\audio_232.wav,Mero phone ko storage almost full xa.,मेरो phone को storage almost full छ।,4.34,16000,..\data\processed_audio\audio_232.wav
audio_233,..\data\raw_audio\audio_233.wav,Please upload the report by today.,Please upload the report by today.,3.8,16000,..\data\processed_audio\audio_233.wav
audio_234,..\data\raw_audio\audio_234.wav,Tyo error ko solution khojdai xu.,त्यो error को solution खोज्दै छु।,3.88,16000,..\data\processed_audio\audio_234.wav
audio_235,..\data\raw_audio\audio_235.wav,Maile chai project complete gare half.,मैले चाहिँ project complete गरे half।,4.57,16000,..\data\processed_audio\audio_235.wav
audio_236,..\data\raw_audio\audio_236.wav,Tyo lecture sunera dherai bujhiyo.,त्यो lecture सुनेर धेरै बुझियो।,3.52,16000,..\data\processed_audio\audio_236.wav
audio_237,..\data\raw_audio\audio_237.wav,Please share your screen for demo.,Please share your screen for demo.,4.03,16000,..\data\processed_audio\audio_237.wav
audio_238,..\data\raw_audio\audio_238.wav,Mero net connection kati slow xa.,मेरो net connection कति slow छ।,3.86,16000,..\data\processed_audio\audio_238.wav
audio_239,..\data\raw_audio\audio_239.wav,Let's prepare slides today itself.,Let's prepare slides today itself.,4.22,16000,..\data\processed_audio\audio_239.wav
audio_24,..\data\raw_audio\audio_24.wav,Tyo file google drive ma upload gardinu.,त्यो file google drive मा upload गरिदिनु।,2.33,16000,..\data\processed_audio\audio_24.wav
audio_240,..\data\raw_audio\audio_240.wav,Maile chai kal tyo video edit gare.,मैले चाहिँ हिजो। त्यो video edit गरे।,4.83,16000,..\data\processed_audio\audio_240.wav
audio_241,..\data\raw_audio\audio_241.wav,Tyo question explain gardinu na sir lai.,त्यो question explain गर्दिनु न sir लाई।,4.07,16000,..\data\processed_audio\audio_241.wav
audio_242,..\data\raw_audio\audio_242.wav,Please submit the document before evening.,Please submit the document before evening.,4.17,16000,..\data\processed_audio\audio_242.wav
audio_243,..\data\raw_audio\audio_243.wav,Mero practical preparation ali kamjor xa.,मेरो practical preparation अलि कमजोर छ।,4.55,16000,..\data\processed_audio\audio_243.wav
audio_244,..\data\raw_audio\audio_244.wav,Tyo code run hunna re.,त्यो code run हुन्न रे।,2.93,16000,..\data\processed_audio\audio_244.wav
audio_245,..\data\raw_audio\audio_245.wav,Maile chai assignment print gareko xu.,मैले चाहिँ assignment print गरेको छु।,4.36,16000,..\data\processed_audio\audio_245.wav
audio_246,..\data\raw_audio\audio_246.wav,Let's start recording the video today.,Let's start recording the video today.,3.46,16000,..\data\processed_audio\audio_246.wav
audio_247,..\data\raw_audio\audio_247.wav,Mero laptop charger ghar ma birse.,मेरो laptop charger घर मा बिर्से।,3.95,16000,..\data\processed_audio\audio_247.wav
audio_248,..\data\raw_audio\audio_248.wav,Please give me your pen for a while.,Please give me your pen for a while.,3.68,16000,..\data\processed_audio\audio_248.wav
